date,compound
2010-07-12,0.2366446513834628
2010-07-13,0.273272314786197
2010-07-14,0.363807509997458
2010-07-15,0.1999025042083352
2010-07-16,0.3161706330728565
2010-07-17,0.0
2010-07-18,0.0
2010-07-19,0.4021041770631846
2010-07-20,0.1684498100581479
2010-07-21,0.3112917536204985
2010-07-22,0.316741185195095
2010-07-23,0.3578829315600627
2010-07-24,0.0
2010-07-25,0.0
2010-07-26,0.1957246976394027
2010-07-27,0.1883450859954755
2010-07-28,0.3349951101906942
2010-07-29,0.3162141457907719
2010-07-30,0.3116679179509953
2010-07-31,0.0
2010-08-01,0.0
2010-08-02,0.3184751157506583
2010-08-03,0.2354458276342081
2010-08-04,0.307474557161995
2010-08-05,0.3113445634098668
2010-08-06,0.2297133489501953
2010-08-07,0.0
2010-08-08,0.0
2010-08-09,0.4350444634519989
2010-08-10,0.3225686764047502
2010-08-11,0.1881959658381886
2010-08-12,0.3348215686096417
2010-08-13,0.2030787867162706
2010-08-14,0.0
2010-08-15,0.0
2010-08-16,0.3427353158023453
2010-08-17,0.3711307943137
2010-08-18,0.2114227288051053
2010-08-19,0.352741335022875
2010-08-20,0.3072476175611302
2010-08-21,0.0
2010-08-22,0.0
2010-08-23,0.3385040332375001
2010-08-24,0.4229571301696117
2010-08-25,0.2500177290142057
2010-08-26,0.2077458147501359
2010-08-27,0.1952405589357443
2010-08-28,0.0
2010-08-29,0.0
2010-08-30,0.1994552103063342
2010-08-31,0.25683177474468
2010-09-01,0.2885337562618393
2010-09-02,0.2815806127200809
2010-09-03,0.3237860837551463
2010-09-04,0.0
2010-09-05,0.0
2010-09-06,0.2567802411164872
2010-09-07,0.3701143444946051
2010-09-08,0.2307137399798093
2010-09-09,0.4675179105358594
2010-09-10,0.297939565656359
2010-09-11,0.0
2010-09-12,0.0
2010-09-13,0.1772593770784107
2010-09-14,0.1580706869342244
2010-09-15,0.2802145901015514
2010-09-16,0.221579397699241
2010-09-17,0.2943813109558559
2010-09-18,0.0
2010-09-19,0.0
2010-09-20,0.2728906783267906
2010-09-21,0.2269416220825313
2010-09-22,0.1627269029142824
2010-09-23,0.1069516198172939
2010-09-24,0.1900540697242213
2010-09-25,0.0
2010-09-26,0.0
2010-09-27,0.291890251506056
2010-09-28,0.2380764916035623
2010-09-29,0.1188284487112127
2010-09-30,0.2298488562722948
2010-10-01,0.2442952380858367
2010-10-02,0.0
2010-10-03,0.0
2010-10-04,0.1402057192231472
2010-10-05,0.220626161017587
2010-10-06,0.210368436001604
2010-10-07,0.1116278281881165
2010-10-08,0.2290126661170696
2010-10-09,0.0
2010-10-10,0.0
2010-10-11,0.2425475650227794
2010-10-12,0.28159532113012
2010-10-13,0.2764934946981968
2010-10-14,0.0791859811235712
2010-10-15,0.1115562236787778
2010-10-16,0.0
2010-10-17,0.0
2010-10-18,0.2249406499632931
2010-10-19,0.2219696248271523
2010-10-20,0.2191732192039655
2010-10-21,0.4832647352136899
2010-10-22,0.2177688490868419
2010-10-23,0.0
2010-10-24,0.0
2010-10-25,0.259969260507165
2010-10-26,0.2424459920368669
2010-10-27,0.2152148687084464
2010-10-28,0.1348360615428954
2010-10-29,0.2177059284484284
2010-10-30,0.0
2010-10-31,0.0
2010-11-01,0.0920703662218563
2010-11-02,0.1318365393094459
2010-11-03,0.1088166926261192
2010-11-04,0.1510380157789112
2010-11-05,0.3264820962544209
2010-11-06,0.0
2010-11-07,0.0
2010-11-08,-0.0112709984851778
2010-11-09,0.1897917824348027
2010-11-10,0.0026348595577756
2010-11-11,0.0906396241322056
2010-11-12,0.2122336204945615
2010-11-13,0.0
2010-11-14,0.0
2010-11-15,0.126965204618624
2010-11-16,0.0322907606734792
2010-11-17,0.0579563764668404
2010-11-18,0.1662020974242451
2010-11-19,0.0500423112238644
2010-11-20,0.0
2010-11-21,0.0
2010-11-22,0.1224099414357054
2010-11-23,0.105345352819123
2010-11-24,0.0461631608355451
2010-11-25,0.2663840254211043
2010-11-26,0.1421455533325291
2010-11-27,0.0
2010-11-28,0.0
2010-11-29,-0.0740291194449625
2010-11-30,0.0994361122339832
2010-12-01,0.028102055870969
2010-12-02,0.1457530768646897
2010-12-03,0.0106589253658153
2010-12-04,0.0
2010-12-05,0.0
2010-12-06,0.0613730887512666
2010-12-07,0.1074321607836009
2010-12-08,0.1327650341510544
2010-12-09,-0.0360568756380656
2010-12-10,0.0296602482648339
2010-12-11,0.0
2010-12-12,0.0
2010-12-13,0.014870039346348
2010-12-14,-0.0029630341637525
2010-12-15,0.1869701242725645
2010-12-16,0.0745561612887882
